Time [s],Value
0.0000000000,0x000
0.1808360080,0x001
0.1808463520,0x002
0.1808566960,0x003
0.1808670400,0x004
0.1808773820,0x005
0.1808877260,0x006
0.1808980700,0x007
0.1809084140,0x008
0.1809187560,0x009
0.1809291000,0x00A
0.1809394440,0x00B
0.1809497860,0x00C
0.1809601300,0x00D
0.1809704720,0x00E
0.1809808160,0x00F
0.1809911600,0x010
0.1810015040,0x011
0.1810118460,0x012
0.1810221900,0x013
0.1810325340,0x014
0.1810428780,0x015
0.1810532200,0x016
0.1810635640,0x017
0.1810739080,0x018
0.1810842500,0x019
0.1810945940,0x01A
0.1811049380,0x01B
0.1811152820,0x01C
0.1811256240,0x01D
0.1811359680,0x01E
0.1811463100,0x01F
0.1811566560,0x020
0.1811669980,0x021
0.1811773420,0x022
0.1811876840,0x023
0.1811980280,0x024
0.1812083720,0x025
0.1812187160,0x026
0.1812290600,0x027
0.1812394020,0x028
0.1812497460,0x029
0.1812600880,0x02A
0.1812704320,0x02B
0.1812807760,0x02C
0.1812911200,0x02D
0.1813014620,0x02E
0.1813118060,0x02F
0.1813221500,0x030
0.1813324920,0x031
0.1813428360,0x032
0.1813531800,0x033
0.1813635240,0x034
0.1813738660,0x035
0.1813842100,0x036
0.1813945520,0x037
0.1814048980,0x038
0.1814152400,0x039
0.1814255840,0x03A
0.1814359260,0x03B
0.1814462700,0x03C
0.1814566140,0x03D
0.1814669580,0x03E
0.1814773000,0x03F
0.1814876460,0x040
0.1814979880,0x041
0.1815083300,0x042
0.1815186740,0x043
0.1815290180,0x044
0.1815393620,0x045
0.1815497040,0x046
0.1815600480,0x047
0.1815703920,0x048
0.1815807360,0x049
0.1815910780,0x04A
0.1816014220,0x04B
0.1816117640,0x04C
0.1816221080,0x04D
0.1816324520,0x04E
0.1816427960,0x04F
0.1816531400,0x050
0.1816634820,0x051
0.1816738260,0x052
0.1816841680,0x053
0.1816945140,0x054
0.1817048560,0x055
0.1817152000,0x056
0.1817255420,0x057
0.1817358860,0x058
0.1817462300,0x059
0.1817565720,0x05A
0.1817669160,0x05B
0.1817772600,0x05C
0.1817876040,0x05D
0.1817979460,0x05E
0.1818082900,0x05F
0.1818186340,0x060
0.1818289780,0x061
0.1818393200,0x062
0.1818496640,0x063
0.1818600060,0x064
0.1818703520,0x065
0.1818806940,0x066
0.1818910380,0x067
0.1819013800,0x068
0.1819117240,0x069
0.1819220680,0x06A
0.1819324100,0x06B
0.1819427540,0x06C
0.1819530980,0x06D
0.1819634420,0x06E
0.1819737840,0x06F
0.1819841300,0x070
0.1819944720,0x071
0.1820048160,0x072
0.1820151580,0x073
0.1820255020,0x074
0.1820358460,0x075
0.1820461880,0x076
0.1820565320,0x077
0.1820668760,0x078
0.1820772200,0x079
0.1820875620,0x07A
0.1820979060,0x07B
0.1821082500,0x07C
0.1821185940,0x07D
0.1821289360,0x07E
0.1821392800,0x07F
0.1821496240,0x080
0.1821599660,0x081
0.1821703100,0x082
0.1821806540,0x083
0.1821909960,0x084
0.1822013400,0x085
0.1822116840,0x086
0.1822220260,0x087
0.1822323700,0x088
0.1822427140,0x089
0.1822530580,0x08A
0.1822634000,0x08B
0.1822737440,0x08C
0.1822840880,0x08D
0.1822944300,0x08E
0.1823047740,0x08F
0.1823151180,0x090
0.1823254600,0x091
0.1823358040,0x092
0.1823461480,0x093
0.1823564900,0x094
0.1823668340,0x095
0.1823771780,0x096
0.1823875220,0x097
0.1823978660,0x098
0.1824082100,0x099
0.1824185520,0x09A
0.1824288960,0x09B
0.1824392380,0x09C
0.1824495820,0x09D
0.1824599260,0x09E
0.1824702680,0x09F
0.1824806140,0x0A0
0.1824909560,0x0A1
0.1825013000,0x0A2
0.1825116420,0x0A3
0.1825219860,0x0A4
0.1825323300,0x0A5
0.1825426740,0x0A6
0.1825530160,0x0A7
0.1825633600,0x0A8
0.1825737020,0x0A9
0.1825840460,0x0AA
0.1825943900,0x0AB
0.1826047340,0x0AC
0.1826150760,0x0AD
0.1826254200,0x0AE
0.1826357640,0x0AF
0.1826461080,0x0B0
0.1826564500,0x0B1
0.1826667940,0x0B2
0.1826771380,0x0B3
0.1826874800,0x0B4
0.1826978240,0x0B5
0.1827081680,0x0B6
0.1827185120,0x0B7
0.1827288540,0x0B8
0.1827391980,0x0B9
0.1827495420,0x0BA
0.1827598840,0x0BB
0.1827702280,0x0BC
0.1827805720,0x0BD
0.1827909160,0x0BE
0.1828012580,0x0BF
0.1828116040,0x0C0
0.1828219460,0x0C1
0.1828322880,0x0C2
0.1828426320,0x0C3
0.1828529760,0x0C4
0.1828633180,0x0C5
0.1828736620,0x0C6
0.1828840060,0x0C7
0.1828943480,0x0C8
0.1829046920,0x0C9
0.1829150360,0x0CA
0.1829253800,0x0CB
0.1829357220,0x0CC
0.1829460660,0x0CD
0.1829564100,0x0CE
0.1829667540,0x0CF
0.1829770980,0x0D0
0.1829874400,0x0D1
0.1829977840,0x0D2
0.1830081260,0x0D3
0.1830184700,0x0D4
0.1830288140,0x0D5
0.1830391580,0x0D6
0.1830495000,0x0D7
0.1830598440,0x0D8
0.1830701860,0x0D9
0.1830805300,0x0DA
0.1830908740,0x0DB
0.1831012180,0x0DC
0.1831115600,0x0DD
0.1831219040,0x0DE
0.1831322480,0x0DF
0.1831425920,0x0E0
0.1831529360,0x0E1
0.1831632780,0x0E2
0.1831736220,0x0E3
0.1831839640,0x0E4
0.1831943080,0x0E5
0.1832046520,0x0E6
0.1832149960,0x0E7
0.1832253380,0x0E8
0.1832356820,0x0E9
0.1832460260,0x0EA
0.1832563680,0x0EB
0.1832667120,0x0EC
0.1832770560,0x0ED
0.1832874000,0x0EE
0.1832977420,0x0EF
0.1833080860,0x0F0
0.1833184280,0x0F1
0.1833287720,0x0F2
0.1833391160,0x0F3
0.1833494600,0x0F4
0.1833598040,0x0F5
0.1833701460,0x0F6
0.1833804900,0x0F7
0.1833908340,0x0F8
0.1834011760,0x0F9
0.1834115200,0x0FA
0.1834218640,0x0FB
0.1834322060,0x0FC
0.1834425500,0x0FD
0.1834528940,0x0FE
0.1834632380,0x0FF
0.1834735840,0x100
0.1834839240,0x101
0.1834942680,0x102
0.1835046100,0x103
0.1835149540,0x104
0.1835252980,0x105
0.1835356420,0x106
0.1835459840,0x107
0.1835563280,0x108
0.1835666720,0x109
0.1835770140,0x10A
0.1835873580,0x10B
0.1835977020,0x10C
0.1836080460,0x10D
0.1836183880,0x10E
0.1836287320,0x10F
0.1836390760,0x110
0.1836494180,0x111
0.1836597620,0x112
0.1836701060,0x113
0.1836804480,0x114
0.1836907920,0x115
0.1837011360,0x116
0.1837114800,0x117
0.1837218220,0x118
0.1837321660,0x119
0.1837425100,0x11A
0.1837528520,0x11B
0.1837631960,0x11C
